Customer ID,Recency,Frequency,Monetary,Cluster
AA-10315,185,5,5563.56,0
AA-10375,20,9,1056.39,3
AA-10480,260,4,1790.512,0
AA-10645,56,6,5086.9349999999995,3
AB-10015,416,3,886.156,1
AB-10060,55,8,7755.62,2
AB-10105,42,10,14473.571,2
AB-10150,42,5,966.71,0
AB-10165,11,10,1215.022,3
AB-10255,167,9,914.5319999999999,3
AB-10600,51,4,1515.862,0
AC-10420,233,3,925.8000000000001,0
AC-10450,12,7,5527.846,3
AC-10615,7,5,2537.686,0
AC-10660,283,5,657.316,0
AD-10180,30,8,6106.88,3
AF-10870,42,7,2052.908,3
AF-10885,416,4,861.565,1
AG-10270,102,9,2720.386,3
AG-10300,119,4,367.548,0
AG-10330,9,5,660.972,0
AG-10390,115,5,200.945,0
AG-10495,79,8,2356.855,3
AG-10525,845,4,1455.038,1
AG-10675,98,7,3489.0396,3
AG-10765,78,4,170.584,0
AG-10900,97,10,4510.7970000000005,3
AH-10030,13,7,1744.7,3
AH-10075,35,10,3250.337,3
AH-10120,61,7,1735.5140000000001,3
AH-10195,56,4,1587.452,0
AH-10210,7,9,4805.344,3
AH-10465,231,5,2495.3916,0
AH-10585,22,4,738.504,0
AH-10690,411,12,7888.294,2
AI-10855,14,10,4375.786,3
AJ-10780,76,7,4867.344,3
AJ-10795,167,7,4501.3910000000005,3
AJ-10945,86,7,1839.24,3
AJ-10960,75,3,629.2479999999999,0
AM-10360,29,5,814.012,0
AM-10705,163,8,5664.022,3
AO-10810,502,1,161.28,1
AP-10720,42,8,1638.554,3
AP-10915,99,10,3323.556,3
AR-10345,112,6,1073.3539999999998,0
AR-10405,126,5,2236.1279999999997,0
AR-10510,15,5,264.86400000000003,0
AR-10540,7,6,6608.448,2
AR-10570,535,1,88.15,1
AR-10825,59,8,4523.336,3
AS-10045,89,7,3050.692,3
AS-10090,29,9,3255.31,3
AS-10135,42,2,58.82,0
AS-10225,23,5,4260.784,0
AS-10240,193,7,584.6080000000001,0
AS-10285,20,6,3214.236,0
AS-10630,93,7,833.398,0
AT-10435,22,6,1171.814,0
AT-10735,14,10,3831.8639999999996,3
AW-10840,21,4,649.3760000000001,0
AW-10930,47,7,2852.9680000000003,3
AY-10555,15,4,497.014,0
AZ-10750,161,6,1622.018,0
BB-10990,106,5,744.34,0
BB-11545,29,9,6765.728,2
BC-11125,203,9,2933.6760000000004,3
BD-11320,34,12,5718.521,3
BD-11500,36,6,4411.2429999999995,3
BD-11560,279,2,320.54,0
BD-11605,98,9,3332.8709999999996,3
BD-11620,70,6,1538.11,0
BD-11635,10,3,582.646,0
BD-11725,94,6,1526.5,0
BD-11770,328,6,658.466,0
BE-11335,120,5,4204.6759999999995,0
BE-11410,99,5,2261.438,0
BE-11455,255,6,1727.652,0
BF-10975,92,7,599.798,0
BF-11005,40,4,1333.88,0
BF-11020,75,8,2888.506,3
BF-11080,26,3,272.95,0
BF-11170,17,13,8430.144,2
BF-11215,66,4,1585.162,0
BF-11275,58,3,791.99,0
BG-11035,29,8,2798.948,3
BG-11695,37,6,1874.1719999999998,0
BG-11740,58,6,1006.3560000000001,0
BG-18435,2,5,609.88,0
BH-11710,24,8,6255.351,3
BK-11260,78,6,659.1379999999999,0
BM-11140,308,4,11789.63,2
BM-11575,101,6,808.162,0
BM-11650,34,11,7294.185,2
BM-11785,219,10,1338.842,3
BN-11470,25,4,265.296,0
BN-11515,10,5,1459.344,0
BO-11350,138,5,2682.728,0
BO-11425,76,2,130.83,0
BP-11050,84,5,983.42,0
BP-11095,18,14,3350.874,3
BP-11155,90,6,1697.861,0
BP-11185,2,9,3675.861,3
BP-11230,40,5,1181.49,0
BP-11290,13,7,2475.157,3
BS-11365,559,5,10501.653,2
BS-11380,29,5,3887.8340000000003,0
BS-11590,36,6,2454.928,0
BS-11665,583,3,3288.11,1
BS-11755,2,7,2562.382,3
BS-11800,266,2,949.4300000000001,0
BT-11305,337,5,2567.656,1
BT-11395,303,6,2186.6130000000003,0
BT-11440,561,4,603.876,1
BT-11485,660,2,415.19599999999997,1
BT-11530,92,5,2684.492,0
BT-11680,21,7,3196.752,3
BV-11245,335,5,1523.273,1
BW-11065,213,3,385.516,0
BW-11110,122,8,4750.358,3
BW-11200,204,6,1738.4060000000002,0
CA-11965,97,6,3789.7228,0
CA-12055,402,5,1679.7240000000002,1
CA-12265,57,9,2648.2872,3
CA-12310,14,4,1421.954,0
CA-12775,121,7,3041.566,3
CB-12025,48,10,6076.139,3
CB-12415,27,8,1949.2000000000003,3
CB-12535,198,8,4246.4555,3
CC-12100,458,6,1770.9450000000002,1
CC-12145,107,7,2471.65,3
CC-12220,21,12,3913.4179999999997,3
CC-12370,44,5,12129.071999999998,2
CC-12430,1,12,4606.952,3
CC-12475,40,9,1659.438,3
CC-12550,28,3,113.832,0
CC-12610,35,7,2540.631,3
CC-12670,30,7,2269.7014999999997,3
CC-12685,799,4,2854.1150000000002,1
CD-11920,41,5,2033.9679999999998,0
CD-11980,55,3,639.766,0
CD-12280,43,2,1205.584,0
CD-12790,400,5,1860.732,1
CG-12040,50,6,904.4680000000001,0
CG-12520,339,3,1148.78,1
CH-12070,691,3,1537.236,1
CJ-11875,366,1,16.52,1
CJ-12010,190,8,11164.974,2
CK-12205,40,13,3154.855,3
CK-12325,121,5,2945.321,0
CK-12595,44,11,2372.75,3
CK-12760,83,9,1582.109,3
CL-11890,107,4,1262.0140000000001,0
CL-12565,285,12,10880.546,2
CL-12700,106,5,2353.5860000000002,0
CM-11815,132,6,1673.8880000000001,0
CM-11935,708,2,565.392,1
CM-12115,9,4,1661.6100000000001,0
CM-12160,27,6,2533.314,0
CM-12190,9,6,1475.144,0
CM-12235,386,5,2305.712,1
CM-12385,38,4,8954.02,2
CM-12445,437,3,287.99,1
CM-12655,28,6,6339.5576,3
CM-12715,1035,4,3984.4524000000006,1
CP-12085,83,8,5402.253999999999,3
CP-12340,161,8,5888.275,3
CR-12580,58,4,2148.852,0
CR-12625,471,3,475.9,1
CR-12730,79,4,1600.55,0
CR-12820,86,3,1397.8724,0
CS-11845,92,5,1278.9540000000002,0
CS-11860,163,6,537.632,0
CS-11950,26,11,3036.547,3
CS-12130,490,4,884.6400000000001,1
CS-12175,233,5,844.4580000000001,0
CS-12250,27,12,2754.2160000000003,3
CS-12355,7,11,3202.1620000000003,3
CS-12400,3,9,3651.8585000000003,3
CS-12460,28,2,550.644,0
CS-12490,425,4,1077.2285,1
CS-12505,59,6,5690.055000000001,3
CT-11995,97,11,4503.618,3
CV-12295,255,5,2830.628,0
CV-12805,6,9,2370.3136,3
CW-11905,23,6,1136.592,0
CY-12745,61,8,2900.0260000000003,3
Co-12640,550,5,1300.076,1
DA-13450,353,4,156.76,1
DB-12910,22,8,2171.599,3
DB-12970,242,5,2839.2272000000003,0
DB-13060,17,7,4531.646000000001,3
DB-13120,49,7,2973.0939999999996,3
DB-13210,10,10,2332.5769999999998,3
DB-13270,54,8,4655.897,3
DB-13360,265,5,1081.466,0
DB-13405,145,8,3674.684,3
DB-13555,108,7,3908.8028,3
DB-13615,34,7,1989.0500000000002,3
DB-13660,13,7,1155.202,0
DC-12850,38,9,3336.168,3
